iter	Logloss
0	0.6873817879
1	0.6824007442
2	0.6762353376
3	0.6725236686
4	0.6675668222
5	0.6617256473
6	0.6567727093
7	0.6519039823
8	0.6468850434
9	0.6429926149
10	0.6383832589
11	0.6332746619
12	0.6283880263
13	0.6242982891
14	0.6195232575
15	0.6152155927
16	0.6101468074
17	0.6051598317
18	0.6002948345
19	0.5959695194
20	0.5922461861
21	0.5871862113
22	0.5829054687
23	0.5783316596
24	0.5734452945
25	0.5695294402
26	0.5660197385
27	0.5616279175
28	0.5573023753
29	0.5531751159
30	0.5487731022
31	0.5448262225
32	0.5407782374
33	0.5375773963
34	0.5335685026
35	0.5299967988
36	0.5270410805
37	0.5227316791
38	0.5191441194
39	0.5163272901
40	0.5129071907
41	0.5098143178
42	0.5064503537
43	0.5011818479
44	0.4980443733
45	0.4956233784
46	0.4929313308
47	0.4895810348
48	0.4856916096
49	0.4823232947
50	0.478383058
51	0.4757398274
52	0.4723584339
53	0.4697496835
54	0.4661230764
55	0.4634106364
56	0.460591274
57	0.4579606045
58	0.4553502434
59	0.4524846218
60	0.4505402465
61	0.4474151456
62	0.4447886116
63	0.4418767491
64	0.4386822956
65	0.4364432655
66	0.4335920971
67	0.4309371215
68	0.428192623
69	0.4257826786
70	0.4226698714
71	0.4204859348
72	0.4170092331
73	0.4136138774
74	0.4116153584
75	0.4089957116
76	0.4063849961
77	0.4043091266
78	0.4013216589
79	0.3988373357
80	0.3962524389
81	0.3941636607
82	0.3922088365
83	0.3894274448
84	0.3874640857
85	0.3850397951
86	0.3833844241
87	0.3812694305
88	0.3791907312
89	0.3761906265
90	0.3738254935
91	0.3718262665
92	0.3691310909
93	0.3666111601
94	0.3645524568
95	0.3625017081
96	0.3599304232
97	0.357977278
98	0.3558115479
99	0.353927527
100	0.351915656
101	0.3502894323
102	0.3484838664
103	0.3463418136
104	0.3439688916
105	0.3412945594
106	0.3391267163
107	0.337675707
108	0.3352090928
109	0.3334648688
110	0.3316434604
111	0.3300179255
112	0.3283544908
113	0.3267621523
114	0.3246524856
115	0.322746633
116	0.3210887903
117	0.3191816238
118	0.3172601144
119	0.3155623742
120	0.313156503
121	0.3113631375
122	0.3096988857
123	0.3084590952
124	0.3071040354
125	0.3054465577
126	0.3043675912
127	0.302161692
128	0.3009138546
129	0.299106104
130	0.297528883
131	0.296263852
132	0.2942939433
133	0.292165787
134	0.2911285811
135	0.2901853157
136	0.2893308851
137	0.2878160026
138	0.2860433909
139	0.284749444
140	0.2835642955
141	0.2820884808
142	0.2806870512
143	0.2790936105
144	0.2774976438
145	0.2763294322
146	0.2756856951
147	0.2739357199
148	0.2722097781
149	0.2713198329
150	0.2698564857
151	0.2682979427
152	0.266926668
153	0.2657709917
154	0.2643829572
