iter	Passed	Remaining
0	63	63270
1	93	46591
2	121	40330
3	151	37735
4	186	37060
5	208	34462
6	231	32851
7	253	31380
8	274	30273
9	300	29718
10	321	28950
11	345	28407
12	364	27703
13	388	27357
14	408	26809
15	432	26589
16	453	26218
17	477	26024
18	501	25906
19	526	25812
20	552	25734
21	577	25682
22	601	25540
23	626	25489
24	651	25419
25	677	25366
26	701	25270
27	725	25191
28	749	25103
29	774	25039
30	800	25021
31	824	24942
32	849	24896
33	874	24846
34	899	24811
35	924	24747
36	948	24678
37	970	24566
38	994	24503
39	1016	24398
40	1041	24352
41	1062	24246
42	1087	24212
43	1109	24100
44	1133	24056
45	1155	23969
46	1179	23920
47	1201	23820
48	1223	23755
49	1246	23690
50	1276	23743
51	1308	23852
52	1349	24116
53	1374	24087
54	1398	24022
55	1420	23937
56	1443	23883
57	1465	23807
58	1490	23778
59	1512	23696
60	1542	23747
61	1565	23678
62	1590	23653
63	1612	23589
64	1638	23567
65	1660	23493
66	1685	23474
67	1707	23404
68	1732	23378
69	1755	23323
70	1781	23316
71	1806	23286
72	1833	23277
73	1857	23243
74	1884	23243
75	1910	23228
76	1936	23211
77	1959	23156
78	1984	23132
79	2006	23071
80	2031	23049
81	2053	22993
82	2078	22964
83	2101	22911
84	2126	22885
85	2148	22830
86	2176	22835
87	2200	22807
88	2228	22809
89	2254	22797
90	2281	22791
91	2306	22762
92	2334	22765
93	2357	22726
94	2383	22706
95	2405	22653
96	2432	22645
97	2455	22602
98	2482	22592
99	2505	22547
100	2531	22532
101	2555	22495
102	2581	22480
103	2604	22435
104	2628	22406
105	2650	22357
106	2676	22335
107	2699	22299
108	2728	22305
109	2751	22261
110	2777	22242
111	2799	22195
112	2827	22196
113	2852	22166
114	2878	22148
115	2902	22120
116	2928	22102
117	2951	22062
118	2977	22041
119	2999	21997
120	3027	21991
121	3056	21994
122	3083	21988
123	3108	21959
124	3134	21938
125	3160	21924
126	3187	21910
127	3215	21902
128	3240	21877
129	3267	21869
130	3292	21839
131	3320	21832
132	3344	21798
133	3371	21787
134	3394	21749
135	3421	21738
136	3445	21701
137	3470	21680
138	3493	21639
139	3519	21616
140	3541	21574
141	3567	21555
142	3590	21516
143	3615	21490
144	3638	21452
145	3662	21420
146	3685	21383
147	3708	21350
148	3732	21317
149	3755	21281
150	3779	21249
151	3809	21251
152	3833	21222
153	3857	21189
154	3881	21159
